X,Y,Mean,Min,Max,Range,StdDev
147.50,147.50,-0.421366,-0.425,-0.417,0.008,0.002311
147.50,147.70,-0.304074,-0.311,-0.296,0.015,0.004451
147.50,147.90,-0.150907,-0.155,-0.143,0.011,0.003700
147.50,148.10,-0.026553,-0.032,-0.017,0.015,0.004044
147.50,148.30,0.032988,0.028,0.041,0.013,0.004429
147.50,148.50,-0.010428,-0.016,-0.004,0.012,0.004227
147.50,148.70,-0.131699,-0.135,-0.121,0.014,0.004034
147.50,148.90,-0.258783,-0.265,-0.248,0.017,0.004949
147.50,149.10,-0.361408,-0.367,-0.356,0.011,0.003309
147.50,149.30,-0.408220,-0.410,-0.403,0.008,0.002173
147.50,149.50,-0.392387,-0.396,-0.389,0.007,0.002224
147.50,149.70,-0.303220,-0.307,-0.297,0.010,0.003669
147.50,149.90,-0.159033,-0.163,-0.154,0.009,0.002567
147.50,150.10,-0.036262,-0.043,-0.026,0.017,0.004531
147.50,150.30,0.019717,0.015,0.024,0.009,0.002756
147.50,150.50,-0.021512,-0.028,-0.012,0.016,0.004463
147.50,150.70,-0.153470,-0.159,-0.149,0.010,0.003034
147.50,150.90,-0.289137,-0.296,-0.282,0.014,0.003427
147.50,151.10,-0.388116,-0.393,-0.383,0.009,0.003136
147.50,151.30,-0.424178,-0.428,-0.415,0.013,0.004023
147.50,151.50,-0.400116,-0.405,-0.395,0.011,0.003149
147.50,151.70,-0.305157,-0.310,-0.302,0.008,0.002892
147.50,151.90,-0.154428,-0.159,-0.151,0.007,0.002326
147.50,152.10,-0.013574,-0.021,-0.008,0.013,0.004007
147.50,152.30,0.055176,0.047,0.062,0.015,0.003755
147.70,147.50,-0.292053,-0.296,-0.287,0.009,0.002437
147.70,147.70,-0.246928,-0.250,-0.240,0.010,0.003033
147.70,147.90,-0.184303,-0.189,-0.181,0.009,0.002581
147.70,148.10,-0.135678,-0.140,-0.130,0.010,0.002883
147.70,148.30,-0.111637,-0.113,-0.110,0.004,0.001208
147.70,148.50,-0.120595,-0.123,-0.118,0.006,0.001849
147.70,148.70,-0.151116,-0.154,-0.148,0.006,0.002149
147.70,148.90,-0.193491,-0.197,-0.187,0.009,0.002574
147.70,149.10,-0.225699,-0.230,-0.223,0.007,0.002386
147.70,149.30,-0.240074,-0.245,-0.236,0.009,0.002664
147.70,149.50,-0.238241,-0.244,-0.233,0.012,0.003252
147.70,149.70,-0.210387,-0.214,-0.204,0.010,0.003121
147.70,149.90,-0.169116,-0.171,-0.162,0.010,0.002652
147.70,150.10,-0.140866,-0.146,-0.134,0.012,0.003007
147.70,150.30,-0.118470,-0.123,-0.114,0.009,0.002497
147.70,150.50,-0.132699,-0.139,-0.125,0.014,0.003363
147.70,150.70,-0.165199,-0.168,-0.161,0.007,0.001978
147.70,150.90,-0.213824,-0.218,-0.211,0.007,0.002144
147.70,151.10,-0.243220,-0.246,-0.239,0.008,0.002386
147.70,151.30,-0.254387,-0.260,-0.250,0.010,0.003002
147.70,151.50,-0.242262,-0.245,-0.239,0.006,0.001606
147.70,151.70,-0.208658,-0.212,-0.205,0.007,0.001843
147.70,151.90,-0.152449,-0.155,-0.149,0.007,0.002080
147.70,152.10,-0.113116,-0.117,-0.111,0.006,0.001586
147.70,152.30,-0.094012,-0.097,-0.092,0.005,0.001762
147.90,147.50,-0.135074,-0.139,-0.130,0.009,0.002454
147.90,147.70,-0.150199,-0.155,-0.146,0.009,0.003227
147.90,147.90,-0.168928,-0.172,-0.164,0.008,0.002465
147.90,148.10,-0.179345,-0.184,-0.174,0.010,0.003349
147.90,148.30,-0.176366,-0.180,-0.171,0.009,0.002924
147.90,148.50,-0.158824,-0.163,-0.155,0.008,0.002496
147.90,148.70,-0.143553,-0.148,-0.138,0.010,0.002951
147.90,148.90,-0.112824,-0.118,-0.108,0.010,0.002794
147.90,149.10,-0.082741,-0.091,-0.078,0.013,0.003270
147.90,149.30,-0.062637,-0.067,-0.058,0.009,0.003086
147.90,149.50,-0.064095,-0.068,-0.059,0.009,0.003052
147.90,149.70,-0.086470,-0.093,-0.081,0.012,0.003740
147.90,149.90,-0.138428,-0.142,-0.135,0.007,0.002073
147.90,150.10,-0.179491,-0.184,-0.171,0.014,0.003720
147.90,150.30,-0.195428,-0.199,-0.191,0.008,0.002343
147.90,150.50,-0.191199,-0.199,-0.186,0.013,0.003565
147.90,150.70,-0.155428,-0.160,-0.150,0.010,0.002669
147.90,150.90,-0.126616,-0.132,-0.121,0.011,0.002750
147.90,151.10,-0.096949,-0.102,-0.089,0.014,0.003868
147.90,151.30,-0.076408,-0.081,-0.069,0.013,0.003499
147.90,151.50,-0.067532,-0.074,-0.064,0.010,0.002699
147.90,151.70,-0.079845,-0.088,-0.075,0.013,0.004327
147.90,151.90,-0.111845,-0.117,-0.106,0.010,0.003087
147.90,152.10,-0.149158,-0.153,-0.144,0.010,0.003114
147.90,152.30,-0.173970,-0.176,-0.172,0.004,0.001299
148.10,147.50,0.048113,0.045,0.054,0.009,0.002457
148.10,147.70,-0.041741,-0.045,-0.039,0.006,0.001809
148.10,147.90,-0.159345,-0.164,-0.155,0.008,0.002094
148.10,148.10,-0.244095,-0.249,-0.239,0.010,0.002809
148.10,148.30,-0.278887,-0.284,-0.274,0.010,0.002542
148.10,148.50,-0.243533,-0.251,-0.239,0.012,0.002936
148.10,148.70,-0.154366,-0.161,-0.152,0.009,0.002368
148.10,148.90,-0.013616,-0.020,-0.011,0.009,0.002703
148.10,149.10,0.097905,0.095,0.103,0.009,0.002468
148.10,149.30,0.162322,0.159,0.165,0.006,0.001441
148.10,149.50,0.134343,0.131,0.139,0.008,0.002451
148.10,149.70,0.029197,0.026,0.033,0.007,0.001638
148.10,149.90,-0.126303,-0.130,-0.120,0.010,0.002539
148.10,150.10,-0.244178,-0.248,-0.240,0.008,0.002674
148.10,150.30,-0.301303,-0.304,-0.296,0.008,0.002834
148.10,150.50,-0.279157,-0.281,-0.275,0.006,0.001839
148.10,150.70,-0.175616,-0.181,-0.169,0.012,0.003432
148.10,150.90,-0.031553,-0.035,-0.028,0.006,0.002031
148.10,151.10,0.088988,0.083,0.092,0.010,0.002584
148.10,151.30,0.142801,0.137,0.149,0.011,0.002814
148.10,151.50,0.133738,0.130,0.139,0.008,0.002235
148.10,151.70,0.048592,0.045,0.052,0.007,0.002777
148.10,151.90,-0.082512,-0.085,-0.080,0.005,0.001853
148.10,152.10,-0.206283,-0.211,-0.202,0.009,0.002824
148.10,152.30,-0.281324,-0.285,-0.279,0.007,0.002224
148.30,147.50,0.244801,0.240,0.252,0.012,0.003366
148.30,147.70,0.036884,0.034,0.040,0.006,0.001934
148.30,147.90,-0.187324,-0.191,-0.184,0.007,0.001907
148.30,148.10,-0.343762,-0.348,-0.339,0.008,0.002591
148.30,148.30,-0.422345,-0.427,-0.418,0.009,0.002698
148.30,148.50,-0.359616,-0.365,-0.351,0.013,0.003499
148.30,148.70,-0.168220,-0.174,-0.165,0.009,0.002806
148.30,148.90,0.073155,0.069,0.079,0.010,0.002825
148.30,149.10,0.282842,0.278,0.291,0.013,0.003973
148.30,149.30,0.411238,0.405,0.422,0.018,0.005760
148.30,149.50,0.344134,0.338,0.351,0.013,0.004017
148.30,149.70,0.115926,0.113,0.124,0.010,0.002972
148.30,149.90,-0.150824,-0.156,-0.146,0.010,0.003351
148.30,150.10,-0.339053,-0.345,-0.332,0.014,0.003413
148.30,150.30,-0.446137,-0.452,-0.441,0.010,0.002964
148.30,150.50,-0.405491,-0.409,-0.400,0.009,0.002440
148.30,150.70,-0.202095,-0.206,-0.198,0.008,0.002576
148.30,150.90,0.046968,0.042,0.051,0.009,0.003037
148.30,151.10,0.258551,0.254,0.264,0.010,0.003221
148.30,151.30,0.385759,0.377,0.403,0.026,0.006856
148.30,151.50,0.355613,0.350,0.359,0.010,0.002566
148.30,151.70,0.152884,0.149,0.158,0.009,0.002751
148.30,151.90,-0.097866,-0.101,-0.094,0.007,0.001928
148.30,152.10,-0.298595,-0.303,-0.296,0.008,0.002489
148.30,152.30,-0.433262,-0.438,-0.426,0.012,0.004138
148.50,147.50,0.406509,0.402,0.411,0.008,0.002476
148.50,147.70,0.088926,0.087,0.092,0.005,0.001690
148.50,147.90,-0.252428,-0.255,-0.250,0.006,0.001625
148.50,148.10,-0.512658,-0.515,-0.509,0.007,0.001862
148.50,148.30,-0.648637,-0.650,-0.646,0.004,0.001337
148.50,148.50,-0.528803,-0.534,-0.525,0.009,0.002556
148.50,148.70,-0.237220,-0.241,-0.233,0.007,0.001800
148.50,148.90,0.114842,0.112,0.117,0.005,0.001573
148.50,149.10,0.454134,0.452,0.459,0.007,0.002088
148.50,149.30,0.658842,0.652,0.667,0.016,0.004256
148.50,149.50,0.535384,0.532,0.540,0.008,0.002329
148.50,149.70,0.180655,0.176,0.185,0.009,0.002789
148.50,149.90,-0.210137,-0.213,-0.207,0.006,0.002157
148.50,150.10,-0.482887,-0.486,-0.479,0.007,0.002009
148.50,150.30,-0.653907,-0.659,-0.649,0.009,0.002509
148.50,150.50,-0.573345,-0.579,-0.568,0.011,0.003347
148.50,150.70,-0.284116,-0.289,-0.280,0.009,0.002689
148.50,150.90,0.059801,0.057,0.061,0.004,0.001300
148.50,151.10,0.391926,0.389,0.394,0.005,0.001659
148.50,151.30,0.607238,0.601,0.613,0.012,0.003917
148.50,151.50,0.532447,0.529,0.535,0.006,0.001678
148.50,151.70,0.219634,0.215,0.224,0.009,0.002569
148.50,151.90,-0.150824,-0.154,-0.149,0.005,0.001572
148.50,152.10,-0.442012,-0.445,-0.438,0.007,0.002143
148.50,152.30,-0.649491,-0.653,-0.646,0.007,0.002238
148.70,147.50,0.450530,0.447,0.457,0.010,0.003049
148.70,147.70,0.074363,0.071,0.078,0.007,0.002330
148.70,147.90,-0.320074,-0.322,-0.319,0.003,0.001144
148.70,148.10,-0.629970,-0.632,-0.627,0.005,0.001648
148.70,148.30,-0.800595,-0.805,-0.797,0.008,0.002535
148.70,148.50,-0.647803,-0.653,-0.646,0.007,0.002195
148.70,148.70,-0.306095,-0.309,-0.303,0.006,0.001919
148.70,148.90,0.104863,0.098,0.107,0.009,0.002513
148.70,149.10,0.503197,0.496,0.509,0.013,0.003615
148.70,149.30,0.722259,0.718,0.725,0.007,0.002474
148.70,149.50,0.569592,0.564,0.572,0.008,0.002445
148.70,149.70,0.166405,0.162,0.173,0.011,0.003219
148.70,149.90,-0.264366,-0.267,-0.260,0.007,0.002000
148.70,150.10,-0.566949,-0.571,-0.560,0.012,0.003781
148.70,150.30,-0.778137,-0.782,-0.773,0.009,0.003007
148.70,150.50,-0.684324,-0.689,-0.681,0.008,0.002650
148.70,150.70,-0.355137,-0.358,-0.351,0.006,0.002012
148.70,150.90,0.040197,0.037,0.044,0.007,0.002659
148.70,151.10,0.416322,0.412,0.420,0.008,0.002626
148.70,151.30,0.671822,0.665,0.676,0.011,0.003303
148.70,151.50,0.561134,0.555,0.567,0.012,0.003693
148.70,151.70,0.201884,0.196,0.206,0.010,0.002801
148.70,151.90,-0.211428,-0.214,-0.210,0.004,0.001075
148.70,152.10,-0.542283,-0.548,-0.539,0.009,0.002807
148.70,152.30,-0.776991,-0.781,-0.772,0.010,0.002854
148.90,147.50,0.384405,0.381,0.388,0.007,0.001811
148.90,147.70,0.011238,0.006,0.019,0.013,0.003770
148.90,147.90,-0.383720,-0.389,-0.379,0.009,0.002742
148.90,148.10,-0.713595,-0.717,-0.710,0.006,0.001644
148.90,148.30,-0.880887,-0.883,-0.879,0.004,0.001248
148.90,148.50,-0.722699,-0.726,-0.720,0.006,0.001821
148.90,148.70,-0.363866,-0.366,-0.362,0.005,0.001526
148.90,148.90,0.048593,0.045,0.053,0.008,0.002471
148.90,149.10,0.438551,0.435,0.441,0.006,0.002181
148.90,149.30,0.654405,0.647,0.661,0.014,0.003766
148.90,149.50,0.493967,0.490,0.500,0.010,0.002773
148.90,149.70,0.096967,0.092,0.101,0.009,0.002301
148.90,149.90,-0.322678,-0.326,-0.318,0.008,0.002337
148.90,150.10,-0.636928,-0.641,-0.634,0.007,0.002130
148.90,150.30,-0.847657,-0.850,-0.845,0.005,0.001746
148.90,150.50,-0.757512,-0.762,-0.755,0.007,0.002051
148.90,150.70,-0.416970,-0.422,-0.413,0.009,0.002924
148.90,150.90,-0.018012,-0.024,-0.013,0.010,0.003258
148.90,151.10,0.357718,0.354,0.362,0.009,0.002804
148.90,151.30,0.616717,0.610,0.623,0.013,0.003549
148.90,151.50,0.497655,0.494,0.501,0.008,0.002647
148.90,151.70,0.133697,0.129,0.138,0.008,0.002566
